Year,Traffic Accidents,Traffic Accidents (Index),Fatal Accidents,Fatal Accidents (Index),Fatalities,Fatalities (Index),Injuries,Injuries (Index),"Fatalities per 100,000 persons","Fatalities per 100,000 persons (Index)"
1948.0,21341.0,…,…,…,3848.0,22.95257977930212,17609.0,…,4.926953560133674,30.166533196576285
1949.0,25113.0,…,…,…,3790.0,22.6066209364748,20242.0,…,4.737381565460864,29.005830177836373
1950.0,33212.0,…,…,…,4202.0,25.06412168207575,25450.0,…,5.1386154354126665,31.46248715861852
1951.0,41423.0,…,…,…,4429.0,26.41813301521026,31274.0,…,5.3233173076923075,32.59337160751566
1952.0,58487.0,…,…,…,4696.0,28.010736653742917,43321.0,…,5.552599529400636,33.99721064681876
1953.0,80019.0,…,…,…,5544.0,33.06889352818372,59280.0,…,6.4576247495690255,39.53845900946981
1954.0,93869.0,…,…,…,6374.0,38.01968386519535,72390.0,…,7.323658842048418,44.840974221210026
1955.0,93981.0,…,…,…,6379.0,38.04950790337011,76501.0,…,7.224808308699444,44.235736550634094
1956.0,122691.0,…,…,…,6751.0,40.26841634357292,102072.0,…,7.561942739370044,46.299928321554205
1957.0,146833.0,…,…,…,7575.0,45.18341783477483,124530.0,…,8.392514873862995,51.385318626441325
1958.0,168799.0,…,…,…,8248.0,49.197733373098714,145432.0,…,9.054979799754085,55.4414295547365
1959.0,201292.0,…,…,…,10079.0,60.11929615269908,175951.0,…,10.95424410390175,67.07016097687486
1960.0,449917.0,…,…,…,12055.0,71.90575603936773,289156.0,29.472752921222796,12.96612995170641,79.3884466020137
1961.0,493693.0,…,12250,…,12865.0,76.73725022368029,308697.0,31.464505002568554,13.771288495916249,84.31823570109222
1962.0,479825.0,…,11022,…,11445.0,68.26722338204593,313813.0,31.985962637703143,12.138728323699421,74.3224685339158
1963.0,531966.0,…,11830,…,12301.0,73.37309871756635,359089.0,36.60080155254939,12.924205173464456,79.13175142533728
1964.0,557183.0,…,12767,…,13318.0,79.43930808231434,401117.0,40.88458214078948,13.850409750821582,84.80267581880906
1965.0,567286.0,…,11922,…,12484.0,74.46465851476289,425666.0,43.386783760202874,12.845471569979214,78.64968480257838
1966.0,425944.0,59.31706773618538,13257,83.89975318017846,13904.0,82.93468535639725,517775.0,52.77516165594397,14.148053930297635,86.62507842750921
1967.0,521481.0,72.62157419786097,12885,81.54547180558193,13618.0,81.22875037280048,655377.0,66.80049658748992,13.74805661558342,84.17599257240722
1968.0,635056.0,88.43805704099822,13556,85.7920384785773,14256.0,85.03429764390098,828071.0,84.40264765119825,14.221441896192252,87.07441501702013
1969.0,720880.0,100.38992869875223,15396,97.4368710841086,16257.0,96.96987772144348,967000.0,98.56323947911315,16.031279583464816,98.15560910727686
1970.0,718080.0,100,15801,100,16765.0,100.0,981096.0,100,16.332515002727767,100.0
1971.0,700290.0,97.5225601604278,15340,97.0824631352446,16278.0,97.09513868177751,949689.0,96.79878421683506,15.69417662938681,96.09161005984475
1972.0,659283.0,91.81191510695187,15009,94.98765900892349,15918.0,94.94780793319416,889198.0,90.63312866426935,15.157978936141847,92.80860255514992
1973.0,586713.0,81.70579879679144,13791,87.27928612113158,14574.0,86.93110647181629,789948.0,80.5168913133883,13.578429545708643,83.13740745648082
1974.0,490452.0,68.3004679144385,10845,68.63489652553636,11432.0,68.18968088279152,651420.0,66.39717214217569,10.516051881151688,64.38721702931456
1975.0,472938.0,65.86146390374331,10165,64.33137143218784,10792.0,64.37220399642112,622467.0,63.446084786809855,9.806540722768949,60.04305351093272
1976.0,471041.0,65.59728721033868,9196,58.198848174166194,9734.0,58.06143751864003,613957.0,62.578687508663776,8.695729855279614,53.24182989470575
1977.0,460649.0,64.15009469696969,8487,53.7117903930131,8945.0,53.3552042946615,593211.0,60.46411360356173,7.909699440263863,48.429157658467346
1978.0,464037.0,64.6219084224599,8311,52.59793683944054,8783.0,52.388905457798984,594116.0,60.55635737990982,7.693992326155895,47.10843568716077
1979.0,471573.0,65.6713736631016,8048,50.93348522245428,8466.0,50.498061437518636,596282.0,60.77713088219705,7.350617326827235,45.00603443866162
1980.0,476677.0,66.38215797682709,8329,52.711853680146824,8760.0,52.251714882195046,598719.0,61.02552655397637,7.54307561158327,46.18440950657916
1981.0,485578.0,67.62171345811052,8278,52.389089298145684,8719.0,52.00715776916195,607346.0,61.90484927061164,7.44831710234068,45.60422630009342
1982.0,502261.0,69.94499220142603,8606,54.464907284349096,9073.0,54.11869967193558,626192.0,63.82576220879507,7.696549150011876,47.124090495104035
1983.0,526362.0,73.30130347593582,9045,57.24321245490792,9520.0,56.78496868475992,654822.0,66.74392719978474,8.02069203744113,49.10873822005709
1984.0,518642.0,72.22621434937612,8829,55.8762103664325,9262.0,55.246048314941845,644321.0,65.67359361367288,7.751730371684674,47.461951636903585
1985.0,552788.0,76.98139483065954,8826,55.85722422631479,9261.0,55.24008350730689,681346.0,69.4474342979688,7.702416101800641,47.16001240785162
1986.0,579190.0,80.65814393939394,8877,56.17998860831593,9317.0,55.5741127348643,712330.0,72.60553503428818,7.696883080405456,47.12613506933847
1987.0,590723.0,82.26423239750446,8981,56.838174799063346,9347.0,55.75305696391292,722179.0,73.60941233069954,7.682129002564271,47.03579945453131
1988.0,614481.0,85.57277740641712,9865,62.43275742041643,10344.0,61.69997017596182,752845.0,76.73510033676622,8.460380815284957,51.80084520890965
1989.0,661363.0,92.10157642602496,10570,66.89450034807923,11086.0,66.12585744109752,814832.0,83.05323841907418,9.028937230724123,55.28197726569459
1990.0,643097.0,89.55784870766489,10651,67.40712613125751,11227.0,66.96689531762601,790295.0,80.55225992155711,9.108758265384772,55.77070196392581
1991.0,662392.0,92.2448752228164,10551,66.77425479400037,11109.0,66.26304801670146,810245.0,82.58570007420273,8.987064258035288,55.025599281765956
1992.0,695346.0,96.83405748663102,10892,68.93234605404722,11452.0,68.3089770354906,844003.0,86.02654582222331,9.232282353699926,56.52700978482493
1993.0,724678.0,100.91883912655972,10398,65.80596164799695,10945.0,65.28481956456903,878633.0,89.55627176137708,8.794555330569215,53.8469141409048
1994.0,729461.0,101.58492090017826,10158,64.28707043857985,10653.0,63.54309573516254,881723.0,89.87122564968159,8.538520727132827,52.279276802787386
1995.0,761794.0,106.0876225490196,10232,64.75539522815012,10684.0,63.7280047718461,922677.0,94.0455368282003,8.54487579378409,52.31818732361165
1996.0,771085.0,107.38148952762923,9518,60.236693880134176,9943.0,59.30808231434537,942204.0,96.03586193400034,7.918292585808712,48.481771389686415
1997.0,780401.0,108.67883801247771,9222,58.36339472185305,9642.0,57.512675216224274,958925.0,97.74018036970898,7.660649590033687,46.90428625814363
1998.0,803882.0,111.9488079322638,8800,55.69267767862793,9214.0,54.95973754846406,990676.0,100.97645898056867,7.303076898689029,44.714956009342764
1999.0,850371.0,118.4228776737968,8687,54.977533067527375,9012.0,53.754846406203406,1050399.0,107.06383473176938,7.124899198330251,43.62401747153019
2000.0,931950.0,129.7835895721925,8713,55.14207961521422,9073.0,54.11869967193558,1155707.0,117.79754478664677,7.161801619752775,43.84996198415645
2001.0,947253.0,131.914689171123,8424,53.3130814505411,8757.0,52.23382045929019,1181039.0,120.37955510979556,6.8992956525849705,42.24270206659959
2002.0,936950.0,130.47989081996434,8062,51.022087209670275,8396.0,50.080524903071876,1168029.0,119.05348712052644,6.595910158612941,40.38514679160759
2003.0,948281.0,132.05784870766487,7522,47.60458198848174,7768.0,46.33462570832091,1181681.0,120.44499213124912,6.095656609251775,37.322216500237175
2004.0,952720.0,132.6760249554367,7159,45.30725903423834,7436.0,44.354309573516254,1183617.0,120.64232246385676,5.826718592059176,35.67557471146379
2005.0,934346.0,130.11725713012478,6691,42.34542117587494,6937.0,41.37787056367432,1157113.0,117.94085390216655,5.432816183323283,33.2638064769322
2006.0,887267.0,123.56102384135473,6208,39.28865261692298,6415.0,38.26424097822845,1098564.0,111.97314024315664,5.0208189844092415,30.74124826195287
2007.0,832704.0,115.96256684491979,5639,35.687614707929875,5796.0,34.57202505219207,1034652.0,105.45879302331271,4.5362761211552005,27.774510664141904
2008.0,766394.0,106.7282196969697,5079,32.14353521928992,5209.0,31.070682970474202,945703.0,96.39250389360471,4.076824944627497,24.961403335289198
2009.0,737637.0,102.72351270053477,4837,30.61198658312765,4979.0,29.698777214434834,911215.0,92.8772515635575,3.899226263195815,23.874009988936717
2010.0,725924.0,101.09235739750446,4808,30.42845389532308,4948.0,29.513868177751267,896297.0,91.35670719277216,3.8804799623558934,23.759230967844186
2011.0,692084.0,96.37979055258467,4560,28.858932978925385,4691.0,27.980912615568148,854613.0,87.10798943222682,3.6632124756944178,22.428955216527328
2012.0,665157.0,92.62992981283422,4307,27.25776849566483,4438.0,26.47181628392484,825392.0,84.12958568784299,3.472640630990853,21.262130360271346
2013.0,629033.0,87.59929255793226,4293,27.169166508448832,4388.0,26.173575902177156,781492.0,79.6549980837757,3.441163784652786,21.06940531864236
2014.0,573842.0,79.91338012477719,4013,25.397126764128853,4113.0,24.533253802564868,711374.0,72.50809298988071,3.23100127260444,19.782631591428608
2015.0,536899.0,74.7686887254902,4028,25.492057464717423,4117.0,24.557113033104685,666023.0,67.8856095631824,3.239615054728012,19.83537167537853
2016.0,499201.0,69.51885583778966,3790,23.98582368204544,3904.0,23.28660900685953,618853.0,63.07772124236568,3.0717180062158227,18.807379057682184
2017.0,472165.0,65.7538157308378,3630,22.973229542434023,3694.0,22.033999403519235,580850.0,59.204196123519004,2.910196717953566,17.818423662660166
2018.0,430601.0,59.96560271836007,3449,21.827732421998608,3532.0,21.067700566656725,525846.0,53.59781305804937,2.787555443309709,17.067521094235314
2019.0,381237.0,53.09115975935829,3133,19.82785899626606,3215.0,19.176856546376378,461775.0,47.06725947307909,2.5426476752370633,15.568010651221837
2020.0,309178.0,43.05620543672014,2784,17.619138029238655,2839.0,16.934088875633762,369476.0,37.659515480646135,2.2501922055688097,13.777377245286443
2021.0,305196.0,42.50167112299465,2583,16.347066641351812,2636.0,15.723232925738145,362131.0,36.91086295326859,2.0896421606709685,12.794368536149932
2022.0,300839.0,41.89491421568628,2550,16.138219100056958,2610.0,15.568147927229347,356601.0,36.34720761271068,2.0796481330974803,12.73317754644737
